chave,grupo,modelo,rmse,mae,r2,desvio_tweedie_1_5,gini,vies_pct,previsoes_negativas,rmse_desvio_particoes,auc_perda,delta_rmse_vs_melhor,delta_rmse_vs_melhor_desvio,particoes_melhores_que_melhor,delta_rmse_vs_motor_atual,delta_rmse_vs_motor_atual_desvio,particoes_melhores_que_motor_atual
dp_gama,duas partes,Logística × causa × Gama severidade ~ golpe + UF,3723.050761,2217.911349,0.544244,124.945608,0.812270,0.013008,0,50.187694,0.922627,0.888273,1.572484,1,0.280505,1.330996,2
dp_ufsub_w2,duas partes,"idem, severidade ponderada por causa²",3723.053118,2218.539587,0.544243,124.932200,0.812276,0.191507,0,50.678670,0.922627,0.885309,0.700779,1,0.277541,0.404963,1
ab_mais_gxd,ablação P(perda),+ golpe × subsídios,3723.225677,2217.523927,0.544201,124.946372,0.812204,0.003038,0,49.685005,0.922603,1.068596,1.595382,2,0.460828,0.898921,2
emp_poisson_offset_p,empilhamento,Poisson log: offset log(P(perda) × causa) + golpe + UF,3723.538026,2218.468242,0.544124,124.947749,0.812240,-0.009030,0,50.391985,,1.373365,2.119599,1,0.765598,1.779509,2
dp_hgb_sev,duas partes,Logística × causa × boosting na severidade,3723.617641,2219.687023,0.544105,124.953782,0.812228,0.131880,0,50.214579,0.922627,1.454903,0.805050,0,0.847136,0.314279,0
emp_isotonica,empilhamento,P(perda) recalibrada por isotônica × causa × severidade UF×sub,3724.531532,2220.534837,0.543881,125.174082,0.811959,-0.019729,0,49.403640,,2.377538,1.288608,0,1.769770,1.436880,1
dp_ufsub_ndoc,duas partes,"Logística × causa × severidade por UF, sub-assunto e nº subsídios",3725.558761,2219.312719,0.543629,125.050837,0.811905,0.016854,0,52.077513,0.922627,3.375703,3.450356,1,2.767936,3.561026,1
emp_mq_pc_ufsub,empilhamento,"MQO: condenação ~ P(perda) × causa × (UF × sub-assunto), zeros incluídos",3725.795536,2220.521195,0.543571,124.927749,0.812066,0.060234,0,49.562532,,3.639943,1.307253,0,3.032175,1.300993,0
emp_tweedie_logp,empilhamento,"Tweedie p=1,5 log: log(P(perda)) livre + golpe + UF, offset log(causa)",3726.070339,2217.877057,0.543504,124.969664,0.812096,0.107523,0,51.094677,,3.898208,2.389885,0,3.290440,1.955756,0
emp_tweedie_offset_p,empilhamento,"Tweedie p=1,5 log: offset log(P(perda) × causa) + golpe + UF",3726.149459,2216.721656,0.543485,124.968268,0.812093,0.194349,0,51.019774,,3.978155,2.266633,0,3.370387,1.881702,0
dp_uf,duas partes,Logística × causa × severidade por UF,3727.220938,2227.098256,0.543222,125.038330,0.811949,0.005319,0,48.003718,0.922627,5.081768,2.872786,0,4.474000,3.115780,1
hgb_duas_partes,árvores,Gradient boosting em duas partes (P(perda) × severidade),3734.501697,2241.446450,0.541436,125.631293,0.810241,-0.071484,0,52.599702,0.921291,12.313481,4.840600,0,11.705713,5.398493,0
emp_mq_linear,empilhamento,MQO: condenação ~ P(perda) × causa + P(perda) + causa + subsídios + golpe + UF,3735.994326,2249.734124,0.541069,175.020015,0.810206,-0.003983,6288,48.056440,,13.855194,3.017090,0,13.247427,3.367454,0
ab_sem_demonstrativo,ablação P(perda),sem demonstrativo,3736.821634,2229.407878,0.540866,125.823459,0.809631,-0.002357,0,53.251519,0.920710,14.626217,4.810289,0,14.018449,4.271726,0
emp_hgb_razao_p,empilhamento,"Gradient boosting na razão ~ P(perda), UF, golpe (peso causa²), × causa",3738.239280,2237.279522,0.540518,125.659693,0.810093,0.044952,0,49.237482,,16.088001,3.704610,0,15.480233,3.262302,0
hgb_razao,árvores,"Gradient boosting na razão (peso causa²), × causa",3740.843906,2252.015690,0.539877,127.811697,0.809426,-0.060883,198,47.601394,,18.709750,4.124019,0,18.101982,3.647027,0
emp_hgb_p_docs,empilhamento,"Gradient boosting: condenação ~ P(perda), causa, UF, golpe, subsídios",3743.930989,2238.651361,0.539117,126.123259,0.809483,-0.031720,184,45.552004,,21.817431,5.545190,0,21.209663,5.092639,0
emp_hgb_p,empilhamento,"Gradient boosting: condenação ~ P(perda), causa, UF, golpe",3744.138660,2240.546358,0.539066,126.330546,0.809180,-0.041075,112,46.406919,,22.016714,4.715775,0,21.408946,4.241590,0
ab_sem_uf,ablação P(perda),sem UF,3745.718135,2244.801688,0.538677,126.858537,0.807296,-0.656998,0,47.824268,0.918929,23.582023,5.799437,0,22.974255,6.407144,0
emp_hgb_p_arquivo,empilhamento,"Gradient boosting ~ P(perda) do arquivo salvo, causa, UF, golpe",3746.976890,2242.231359,0.538367,126.562460,0.808848,0.026796,136,47.975614,,24.839312,3.700157,0,24.231544,3.452633,0
hgb_poisson,árvores,Gradient boosting (Poisson) na condenação,3748.592522,2251.038097,0.537969,125.891093,0.809094,-0.107347,0,46.586968,,26.469063,7.698766,0,25.861295,7.909216,0
hgb_quadratico,árvores,Gradient boosting (erro quadrático) na condenação,3749.300413,2258.466059,0.537794,140.784957,0.808776,-0.021705,2984,48.630054,,27.156242,5.199528,0,26.548475,5.293071,0
emp_mq_pc,empilhamento,MQO sem intercepto: condenação ~ P(perda) × causa,3749.762475,2267.445770,0.537680,125.429326,0.810231,0.780679,0,48.076202,,27.624049,5.914545,0,27.016281,6.489028,0
dp_global,duas partes,Logística × causa × severidade média,3749.961662,2266.960274,0.537631,125.420631,0.810230,0.036413,0,48.003645,0.922627,27.823993,5.502248,0,27.216225,6.059956,0
ab_sem_golpe,ablação P(perda),sem sub-assunto,3766.891124,2259.449871,0.533447,128.250886,0.803366,-0.623437,0,45.097278,0.916878,44.783295,6.181229,0,44.175527,6.394064,0
floresta,árvores,Floresta aleatória na condenação,3789.360961,2285.741061,0.527864,129.168127,0.802042,-0.054427,0,51.324806,,67.191022,4.652747,0,66.583255,5.392212,0
ab_sem_comprovante,ablação P(perda),sem comprovante,3818.245136,2306.958874,0.520639,131.160118,0.792795,-0.004255,0,49.625910,0.908381,96.095270,11.150805,0,95.487503,10.486458,0
mq_razao,linear direto,"MQO na razão condenação ÷ causa, × causa",3818.417951,2494.139842,0.520596,207.763065,0.805580,-0.043047,8224,39.738590,,96.360660,12.504488,0,95.752893,12.740349,0
mqp_razao,linear direto,"MQ ponderado (causa²) na razão, × causa",3818.971771,2498.714029,0.520457,200.170745,0.805616,0.129277,7879,39.691989,,96.914893,12.244403,0,96.307125,12.448276,0
mq_x_por_causa,linear direto,MQO: condenação ~ (subsídios + golpe + UF) × causa,3819.826373,2498.555621,0.520242,204.284377,0.805437,-0.011724,8352,40.013981,,97.766844,11.808578,0,97.159076,11.998210,0
mq_x_causa,linear direto,MQO: condenação ~ subsídios + golpe + UF + causa,4001.858055,2786.444371,0.473428,265.315838,0.793687,0.000399,11745,34.700330,,279.845837,16.702761,0,279.238069,16.614984,0
ab_sem_extrato,ablação P(perda),sem extrato,4110.496204,2644.554394,0.444450,145.139618,0.738024,-0.067264,0,57.901939,0.877636,388.278079,16.082516,0,387.670311,15.588312,0
mq_x,linear direto,MQO: condenação ~ subsídios + golpe + UF,4141.518856,2720.995944,0.436033,221.688838,0.772813,0.000398,8686,41.647741,,419.459465,12.438064,0,418.851697,12.063304,0
poisson_offset,GLM,"Poisson log, offset log(causa)",4209.316367,2753.664668,0.417417,138.434777,0.792238,0.020603,0,42.640415,,487.251722,24.898985,0,486.643955,24.986381,0
poisson_logcausa,GLM,"Poisson log, log(causa) como variável",4210.163567,2753.647453,0.417182,138.434354,0.792100,0.020150,0,42.304416,,488.101669,25.388881,0,487.493901,25.478487,0
ab_sem_contrato,ablação P(perda),sem contrato,4377.981996,2990.909051,0.369794,158.431337,0.671973,-0.144857,0,34.372011,0.839810,655.982190,30.770654,0,655.374422,30.816792,0
ab_ndoc,ablação P(perda),nº de subsídios no lugar dos seis,4379.665419,2966.383936,0.369309,151.479993,0.695523,-0.060747,0,40.878767,0.852489,657.620934,16.994100,0,657.013166,16.551211,0
tweedie_offset_gxd,GLM,"Tweedie p=1,5 offset + golpe × subsídios",4828.582952,2875.583294,0.233391,134.872380,0.794194,6.401272,0,39.721757,,1106.560382,52.259987,0,1105.952615,52.320336,0
tweedie_offset,GLM,"Tweedie p=1,5 log, offset log(causa)",5055.020748,2937.341555,0.159804,136.114777,0.795953,7.603504,0,39.723103,,1333.004025,66.124976,0,1332.396257,66.160059,0
tweedie_logcausa,GLM,"Tweedie p=1,5 log, log(causa) como variável",5056.710557,2937.598479,0.159242,136.119817,0.795928,7.621617,0,40.877230,,1334.686517,70.528852,0,1334.078750,70.551759,0
ab_sem_docs,ablação P(perda),sem nenhum subsídio,5196.962194,4168.567242,0.111957,191.798187,0.407914,-0.221394,0,32.028653,0.644472,1474.991375,40.871754,0,1474.383608,40.326461,0
razao_global,referência,Valor da causa × razão média da base,5409.862707,4486.343136,0.037707,203.848140,0.246075,-0.000125,0,32.755711,,1687.891513,35.209609,0,1687.283746,34.788243,0
mq_causa,linear direto,MQO: condenação ~ causa,5409.908804,4486.376519,0.037691,203.858614,0.246033,-0.000606,0,32.685480,,1687.937950,35.196619,0,1687.330182,34.777383,0
media_uf,referência,Média da condenação por UF,5429.994684,4377.687887,0.030532,206.442009,0.191376,-0.009293,0,36.865884,,1708.002704,34.171832,0,1707.394936,33.532786,0
media_global,referência,Média geral da condenação,5514.861198,4500.830106,-0.000009,210.816002,-0.006326,0.000000,0,37.695373,,1792.866273,32.129978,0,1792.258505,31.582667,0
