processo,perda,condenacao,previsto_melhor,previsto_motor_atual
7409545-64.2025.8.09.7451,0,0.00,813.08,808.75
5190784-97.2025.8.05.0017,0,0.00,1224.31,1194.30
9008957-49.2025.8.10.2303,0,0.00,229.48,223.10
3337657-99.2025.8.01.8085,0,0.00,164.61,163.96
1164748-57.2025.8.09.6973,1,17053.41,11194.44,11111.00
6433720-08.2025.8.13.0468,0,0.00,4105.61,4115.47
1004618-46.2025.8.24.2609,0,0.00,497.81,483.43
5765658-76.2025.8.02.4628,0,0.00,265.68,265.10
4242943-08.2025.8.02.6315,1,9125.34,6215.76,6038.63
8575019-24.2025.8.10.3536,1,9424.00,6202.30,6206.08
8640762-07.2025.8.10.7001,0,0.00,1622.24,1630.12
1642051-91.2025.8.22.5427,0,0.00,241.86,244.50
6350914-29.2025.8.18.1243,0,0.00,620.63,618.56
4337481-67.2025.8.04.1028,0,0.00,4261.62,4248.44
9628720-57.2025.8.05.4407,1,10367.91,10779.73,10771.78
6864983-88.2025.8.01.7914,0,0.00,262.69,261.59
7290593-91.2025.8.15.4383,0,0.00,130.20,130.93
2916706-84.2025.8.13.4536,0,0.00,315.56,317.07
4378932-14.2025.8.21.6312,0,0.00,278.98,280.44
3116427-41.2025.8.15.6493,1,6151.73,3131.81,3176.72
1767789-13.2025.8.16.5294,0,0.00,2371.15,2393.98
2514951-11.2025.8.16.4194,1,8165.01,6264.93,6270.68
9221747-80.2025.8.05.4800,1,13131.27,5943.44,6020.25
8738419-10.2025.8.11.0050,1,6617.06,7656.70,7648.15
5467001-97.2025.8.05.4535,0,0.00,216.15,213.90
6600400-15.2025.8.24.1673,0,0.00,440.58,442.90
6957934-24.2025.8.04.1883,0,0.00,1352.43,1317.88
9721232-17.2025.8.26.2061,0,0.00,105.58,106.69
1658392-73.2025.8.06.4400,1,15738.97,15730.79,15727.77
5429359-99.2025.8.15.9990,0,0.00,659.96,657.14
1830158-63.2025.8.06.7436,0,0.00,1238.76,1233.19
4888805-39.2025.8.06.6078,0,0.00,916.83,905.43
2416629-13.2025.8.22.7481,0,0.00,2080.54,2073.23
3617208-89.2025.8.24.5615,0,0.00,194.78,195.93
5465173-62.2025.8.04.1962,1,15780.55,5568.05,5554.84
2195334-12.2025.8.19.3849,0,0.00,2445.72,2390.72
2491617-60.2025.8.04.4954,0,0.00,15408.99,15387.19
3034155-80.2025.8.17.9947,0,0.00,4087.70,4106.21
9541320-08.2025.8.25.0772,0,0.00,162.21,153.29
3756959-00.2025.8.22.8800,0,0.00,86.92,89.25
3407007-73.2025.8.27.4003,0,0.00,458.39,463.56
5125388-30.2025.8.04.4802,1,19576.02,16389.55,16374.16
1071988-28.2025.8.10.4869,1,6687.02,6021.03,6027.73
3943642-26.2025.8.14.7097,1,6675.42,12884.12,12886.27
3316828-87.2025.8.04.5252,1,8412.07,5691.80,5701.46
5001851-77.2025.8.05.0092,0,0.00,228.80,227.73
3066971-59.2025.8.14.6843,0,0.00,325.33,326.97
2725863-21.2025.8.21.8039,0,0.00,1338.56,1294.13
7855743-79.2025.8.22.0178,0,0.00,139.58,131.94
9151035-68.2025.8.22.6973,0,0.00,1835.76,1879.24
6207314-44.2025.8.15.8205,0,0.00,1054.24,1026.96
9695003-30.2025.8.17.4000,0,0.00,129.01,132.77
7709072-23.2025.8.21.1626,0,0.00,10879.73,10874.02
1132224-24.2025.8.04.8647,1,14203.88,11571.05,11557.79
4126847-18.2025.8.11.9758,0,0.00,607.54,604.55
2945066-43.2025.8.01.2052,1,5155.95,8118.21,8117.76
2260050-77.2025.8.08.6911,0,0.00,235.78,242.08
9692800-68.2025.8.11.8981,0,0.00,220.91,221.39
5694415-80.2025.8.11.5254,0,0.00,337.88,336.31
1953090-35.2025.8.07.9022,0,0.00,563.78,561.94
9678122-24.2025.8.08.7373,1,12007.93,7000.58,7026.64
6107837-76.2025.8.15.8712,0,0.00,3320.70,3416.00
7103613-72.2025.8.14.7270,0,0.00,942.81,895.74
6810366-72.2025.8.21.6022,1,9847.60,7361.88,7524.17
8551553-69.2025.8.11.2880,0,0.00,326.97,335.32
1365943-12.2025.8.02.3358,0,0.00,169.74,171.91
2154527-14.2025.8.24.6581,0,0.00,747.52,740.51
6832328-93.2025.8.12.2275,0,0.00,90.44,92.86
4682646-67.2025.8.16.1196,1,12048.62,12815.65,12818.83
9878548-45.2025.8.15.2286,1,7696.98,11067.26,11068.28
2943656-23.2025.8.11.8748,0,0.00,538.30,544.30
4404420-82.2025.8.18.4981,0,0.00,388.91,402.41
6028943-75.2025.8.14.1091,0,0.00,198.03,196.89
8559222-65.2025.8.14.9635,0,0.00,309.53,300.59
1188768-00.2025.8.26.7298,0,0.00,528.11,525.11
5006133-32.2025.8.21.4921,0,0.00,1290.58,1352.56
6528657-15.2025.8.11.5661,0,0.00,589.92,592.94
2113440-47.2025.8.20.0133,0,0.00,3263.19,3272.62
6993647-65.2025.8.03.0482,0,0.00,1782.42,1793.36
4310482-44.2025.8.14.8080,1,6382.02,11213.09,11210.24
8351690-48.2025.8.27.5137,0,0.00,5969.10,5962.24
9479205-69.2025.8.08.3845,0,0.00,454.87,452.70
3000656-86.2025.8.20.6265,1,16643.90,12805.43,12804.49
6542450-85.2025.8.18.3638,0,0.00,115.68,116.36
9149773-83.2025.8.04.9862,0,0.00,1272.57,1303.32
7577959-91.2025.8.16.6387,1,2626.91,1626.75,1629.46
3988343-82.2025.8.22.6232,0,0.00,452.84,465.17
2236097-32.2025.8.24.2768,0,0.00,3372.91,3362.68
9840752-04.2025.8.24.1287,0,0.00,51.19,51.76
1414512-68.2025.8.17.7385,0,0.00,123.86,120.65
4395451-63.2025.8.01.7486,0,0.00,165.93,165.13
2483936-55.2025.8.02.2108,1,20867.76,16446.19,16436.98
2124970-23.2025.8.12.3756,1,4203.67,5580.20,5577.10
7220045-22.2025.8.21.2131,1,4130.78,4781.00,4780.81
4447431-88.2025.8.17.0827,0,0.00,165.50,163.83
7978624-64.2025.8.21.7206,0,0.00,363.51,365.41
6669881-35.2025.8.22.7063,0,0.00,572.00,569.58
9124076-01.2025.8.04.2683,0,0.00,428.16,432.75
2482176-17.2025.8.08.2021,0,0.00,1772.84,1728.34
7538477-48.2025.8.07.5362,0,0.00,343.13,341.83
6671803-68.2025.8.25.3190,0,0.00,672.44,675.79
5506424-76.2025.8.27.8880,0,0.00,1724.38,1680.54
5644091-07.2025.8.10.1211,0,0.00,4050.94,4056.55
9551756-73.2025.8.03.8934,1,8940.04,4391.63,4398.15
3672620-85.2025.8.18.8833,1,15394.73,10013.97,9975.62
6501074-82.2025.8.01.4124,0,0.00,1000.09,996.39
4979196-66.2025.8.24.1263,0,0.00,1758.59,1695.14
1818653-62.2025.8.17.8561,0,0.00,529.12,509.59
8190650-67.2025.8.14.2138,0,0.00,459.32,464.09
1654013-97.2025.8.04.8668,1,14964.86,11690.59,11781.42
9468353-73.2025.8.04.6122,0,0.00,427.26,429.50
3176669-16.2025.8.19.9291,1,8499.72,1827.63,1820.60
2106146-80.2025.8.05.3987,0,0.00,264.18,265.70
1914631-83.2025.8.10.1214,0,0.00,206.47,212.16
6505734-04.2025.8.22.0898,1,13195.90,461.41,456.69
4987824-28.2025.8.12.9529,0,0.00,3234.85,3250.48
1337700-64.2025.8.26.1050,0,0.00,2686.14,2564.63
7020212-34.2025.8.10.1872,0,0.00,4243.90,4177.38
1325764-41.2025.8.01.1867,1,5393.65,10278.17,10279.59
2471966-47.2025.8.05.2271,1,5222.29,4178.22,4178.88
4358879-64.2025.8.08.7826,0,0.00,3881.06,4037.57
2829762-62.2025.8.06.6733,0,0.00,117.73,114.45
5045808-82.2025.8.12.9737,0,0.00,40.77,40.95
3789694-13.2025.8.15.6729,0,0.00,370.17,366.31
9084560-55.2025.8.13.1494,0,0.00,141.14,142.62
1739214-61.2025.8.25.6298,0,0.00,1689.84,1697.97
9492954-82.2025.8.22.4151,0,0.00,189.58,190.65
8975960-62.2025.8.13.7361,0,0.00,617.47,584.71
8724384-71.2025.8.18.1080,0,0.00,720.22,724.03
9307816-75.2025.8.11.0001,0,0.00,244.66,245.87
4649567-22.2025.8.02.4286,1,6113.11,7603.30,7586.82
9409785-10.2025.8.02.0079,0,0.00,566.40,565.19
5690517-96.2025.8.06.4121,0,0.00,648.87,657.28
9562200-53.2025.8.24.8675,1,10661.62,6774.85,6900.67
8278638-67.2025.8.14.6832,0,0.00,151.84,159.77
9147721-75.2025.8.12.3110,0,0.00,350.80,331.02
4294836-48.2025.8.19.6717,0,0.00,450.62,446.12
1492912-22.2025.8.20.2314,0,0.00,3271.47,3301.37
9188686-73.2025.8.19.4684,1,11380.49,13918.81,13922.60
6763421-55.2025.8.26.6112,0,0.00,200.39,201.33
3838629-43.2025.8.14.2127,1,6008.98,8038.37,8131.12
8120310-52.2025.8.16.7279,1,6461.52,10229.39,10239.68
1707543-15.2025.8.01.0476,0,0.00,618.78,616.05
4522050-31.2025.8.09.7249,1,5224.97,5814.98,5811.56
3422646-09.2025.8.13.7344,0,0.00,173.05,172.11
4657045-66.2025.8.27.1614,0,0.00,333.57,320.31
8697387-71.2025.8.19.9105,0,0.00,1105.05,1131.62
4697385-14.2025.8.14.8471,0,0.00,933.28,979.22
7445676-83.2025.8.13.5734,0,0.00,172.99,173.87
9004567-87.2025.8.17.4684,0,0.00,495.61,498.86
1366137-25.2025.8.10.8394,0,0.00,79.63,79.33
3319519-69.2025.8.24.9245,0,0.00,281.81,296.18
3811520-11.2025.8.27.3921,1,21108.56,15216.73,15180.55
3607840-02.2025.8.25.7125,0,0.00,282.04,280.95
9384984-01.2025.8.10.9298,0,0.00,267.81,265.07
1422980-82.2025.8.12.6616,0,0.00,328.09,339.38
1984531-42.2025.8.13.3366,0,0.00,168.99,159.49
8113638-36.2025.8.08.5428,0,0.00,1017.07,1021.89
3188599-51.2025.8.26.2727,0,0.00,338.64,341.94
6826454-79.2025.8.11.2037,1,16146.22,5815.16,5832.73
2264907-76.2025.8.03.1677,1,10141.18,2614.23,2560.73
9891771-48.2025.8.04.7843,0,0.00,590.23,595.94
5995372-16.2025.8.12.9495,1,10005.63,9554.34,9551.95
7856489-58.2025.8.10.5043,0,0.00,70.98,71.81
4418311-20.2025.8.18.5533,1,6053.02,187.69,182.44
9650295-78.2025.8.24.4301,1,9474.50,1699.56,1708.50
4133155-21.2025.8.13.9869,0,0.00,388.59,386.93
3605350-05.2025.8.14.4896,0,0.00,397.92,402.14
3913330-25.2025.8.02.3394,0,0.00,489.82,488.47
4363333-46.2025.8.18.6471,0,0.00,2953.48,2900.36
9474548-36.2025.8.10.5454,0,0.00,3918.79,3863.84
8567617-32.2025.8.03.2392,1,12834.44,10871.35,10840.30
4333785-52.2025.8.15.9738,0,0.00,147.44,146.56
3367926-07.2025.8.11.7775,1,6302.46,10548.12,10545.98
4096300-57.2025.8.25.6947,0,0.00,143.02,142.57
4555246-04.2025.8.12.5914,0,0.00,404.27,407.94
4554311-47.2025.8.09.3097,0,0.00,6231.09,6218.85
8118111-25.2025.8.21.4100,1,14286.51,13748.98,13747.87
3834494-54.2025.8.14.5884,0,0.00,234.60,240.89
2695662-49.2025.8.20.4019,0,0.00,178.68,169.25
2683862-38.2025.8.10.6374,0,0.00,194.35,193.53
1239724-36.2025.8.08.8933,0,0.00,486.43,488.53
4120213-12.2025.8.24.1138,1,6436.80,2776.48,2817.10
2679129-37.2025.8.24.6626,0,0.00,160.86,165.38
9064618-61.2025.8.22.6208,0,0.00,89.84,90.34
9429013-31.2025.8.08.8737,0,0.00,499.86,502.02
3017224-13.2025.8.01.1554,0,0.00,450.89,453.27
8642955-59.2025.8.18.2775,0,0.00,53.64,53.43
3169077-85.2025.8.07.5123,0,0.00,556.76,554.65
4396761-84.2025.8.20.3161,0,0.00,888.56,866.34
5656989-03.2025.8.20.9803,0,0.00,262.06,254.94
4168459-53.2025.8.14.6929,0,0.00,364.43,362.33
7834054-97.2025.8.08.9760,0,0.00,629.59,636.34
5360256-77.2025.8.07.9983,0,0.00,677.36,727.34
2850297-85.2025.8.10.5188,1,9926.42,3226.69,3286.46
8983927-28.2025.8.22.7891,0,0.00,319.69,323.18
3239459-77.2025.8.09.5383,0,0.00,4475.40,4493.60
8466820-94.2025.8.09.3156,0,0.00,632.58,635.87
5986545-80.2025.8.06.7462,0,0.00,1613.78,1632.25
2321619-29.2025.8.01.1492,0,0.00,426.45,414.74
1354099-87.2025.8.04.1036,1,14328.77,8174.95,8202.23
2545536-85.2025.8.09.4077,0,0.00,589.85,597.05
1160170-85.2025.8.18.9900,0,0.00,212.76,223.69
3308467-41.2025.8.17.5945,0,0.00,324.83,329.28
8249061-13.2025.8.22.9384,0,0.00,681.98,699.16
1517558-64.2025.8.07.8311,0,0.00,737.83,734.60
6593502-12.2025.8.20.4510,0,0.00,257.17,260.06
3788838-96.2025.8.05.8217,0,0.00,3066.76,3242.59
8294025-18.2025.8.03.4132,1,15456.24,12354.97,12351.73
5692657-33.2025.8.10.8260,0,0.00,205.06,210.46
4792625-53.2025.8.27.4268,0,0.00,91.76,92.22
9733358-18.2025.8.01.1430,0,0.00,1756.91,1764.71
7013914-65.2025.8.21.4289,1,13951.97,9184.69,9073.49
8881225-25.2025.8.04.9702,1,11286.17,7234.47,7263.72
5787439-00.2025.8.27.5036,0,0.00,3597.24,3606.99
1414137-22.2025.8.19.6524,0,0.00,1324.06,1312.76
2080586-05.2025.8.24.0047,1,11495.34,6792.23,6769.15
5712171-52.2025.8.02.2068,0,0.00,223.35,222.87
5477485-77.2025.8.25.9062,0,0.00,55.73,54.18
6554938-46.2025.8.22.6815,0,0.00,934.19,921.35
1229865-86.2025.8.14.8301,0,0.00,404.21,406.16
3697823-38.2025.8.24.9274,0,0.00,1204.81,1199.86
1764747-14.2025.8.14.2066,0,0.00,342.79,344.49
9745014-49.2025.8.18.8768,0,0.00,224.51,225.76
7727141-69.2025.8.12.1603,0,0.00,517.30,514.44
3851042-77.2025.8.18.1945,0,0.00,6590.14,6368.41
1459618-38.2025.8.06.2600,0,0.00,380.20,378.14
5579215-47.2025.8.10.1258,1,4968.08,6756.83,6751.79
4713203-44.2025.8.07.4181,0,0.00,692.94,696.51
9100125-37.2025.8.02.7809,0,0.00,143.89,155.02
9350055-50.2025.8.03.3215,0,0.00,1294.03,1358.49
7702486-98.2025.8.06.4413,1,4565.46,4830.66,4824.98
8072532-55.2025.8.11.4029,1,14464.24,1211.10,1179.02
4980320-13.2025.8.18.4732,1,9203.86,5402.43,5520.21
1285710-86.2025.8.16.1973,0,0.00,993.78,990.58
5395176-37.2025.8.05.1726,1,17753.35,15058.57,15058.27
5391521-03.2025.8.17.1039,1,13099.76,5490.45,5419.33
5592650-63.2025.8.18.1165,0,0.00,484.55,472.11
5964480-98.2025.8.13.3677,0,0.00,442.14,424.79
8346913-21.2025.8.03.6369,0,0.00,2038.17,2006.02
8849192-69.2025.8.06.7567,0,0.00,1365.89,1368.79
9437654-82.2025.8.14.6795,1,15463.53,7362.79,7186.56
7104537-20.2025.8.27.4190,1,10803.42,8684.33,8685.08
4465812-12.2025.8.26.2506,1,10195.63,5865.33,5897.71
7422525-21.2025.8.18.9312,0,0.00,128.31,137.82
1470716-30.2025.8.27.4415,0,0.00,376.65,374.62
3094893-94.2025.8.12.5513,1,4685.76,5658.00,5687.76
7479746-65.2025.8.10.8316,0,0.00,54.45,57.34
3351310-28.2025.8.21.0629,0,0.00,2377.84,2367.72
5548103-79.2025.8.15.0874,0,0.00,362.80,360.34
8871532-65.2025.8.09.5766,0,0.00,848.04,824.71
3446082-24.2025.8.16.3719,0,0.00,245.62,244.29
8135776-24.2025.8.16.1325,1,6277.80,6076.28,6118.75
3097558-95.2025.8.19.8459,0,0.00,641.64,624.48
4536245-57.2025.8.03.9997,0,0.00,1579.00,1538.48
8811997-92.2025.8.13.3817,1,15175.60,9720.33,9743.92
1981556-54.2025.8.24.6227,1,11613.06,11544.46,11528.26
3184974-18.2025.8.10.5989,0,0.00,325.01,328.58
6717074-15.2025.8.27.2931,0,0.00,126.33,124.60
4030360-40.2025.8.13.3292,0,0.00,2926.28,2951.99
5055947-21.2025.8.17.7496,0,0.00,305.37,307.37
7920729-74.2025.8.13.2772,0,0.00,168.29,170.12
7837060-38.2025.8.24.9359,0,0.00,12276.71,12290.56
4781837-93.2025.8.18.1902,1,12923.35,6891.26,6876.64
7874225-49.2025.8.09.8903,0,0.00,426.42,428.72
8789119-87.2025.8.18.8711,1,13844.94,3908.17,3891.00
2183028-16.2025.8.06.2704,0,0.00,9471.03,9483.66
1631114-63.2025.8.14.4485,0,0.00,735.67,732.15
4614500-63.2025.8.17.0332,1,6822.06,12156.60,12162.28
6265460-69.2025.8.13.4331,1,8742.01,1584.66,1591.61
5819013-29.2025.8.20.2843,0,0.00,3441.67,3550.64
7093794-65.2025.8.10.5872,0,0.00,317.42,321.00
8198280-86.2025.8.18.5559,0,0.00,394.39,398.60
7258703-00.2025.8.24.1639,1,7717.32,1570.35,1578.81
1828719-02.2025.8.15.1097,0,0.00,51.75,53.60
2627869-67.2025.8.14.9125,0,0.00,351.53,337.52
9592534-03.2025.8.16.3514,1,10956.90,470.43,483.10
5319356-15.2025.8.04.7785,0,0.00,893.70,936.63
8880023-68.2025.8.14.4864,0,0.00,1970.49,1961.07
6106267-85.2025.8.21.2276,0,0.00,319.67,323.39
8917781-59.2025.8.07.5372,1,12260.29,6907.69,6920.55
5386325-16.2025.8.07.7563,0,0.00,776.58,785.81
6284142-48.2025.8.07.5289,0,0.00,2596.72,2589.90
5779188-81.2025.8.18.2299,1,20635.82,15695.13,15697.09
3964159-00.2025.8.06.9900,0,0.00,258.43,257.03
8141110-02.2025.8.10.5844,0,0.00,373.80,377.91
8867325-74.2025.8.05.0199,1,17922.70,6104.93,5985.28
5601764-03.2025.8.22.1702,0,0.00,76.54,72.30
5271076-23.2025.8.08.6864,1,14913.25,11229.50,11228.90
5774212-74.2025.8.06.2567,0,0.00,215.31,215.91
9590658-90.2025.8.12.4904,1,17267.91,8763.81,8619.54
1006161-04.2025.8.08.5650,0,0.00,6521.32,6486.51
4351781-07.2025.8.22.3613,0,0.00,6438.41,6458.34
2138730-77.2025.8.25.9974,0,0.00,414.24,402.93
5665174-01.2025.8.20.9083,0,0.00,278.65,293.61
4559209-55.2025.8.13.7879,1,19415.19,12049.61,12180.64
5876567-93.2025.8.20.5263,0,0.00,376.13,355.67
6887378-01.2025.8.09.3317,0,0.00,3185.66,3078.91
6572173-69.2025.8.02.0526,0,0.00,612.87,616.08
4862592-74.2025.8.18.6731,0,0.00,295.71,297.36
4277346-80.2025.8.21.0810,1,15796.70,12118.16,12272.23
8575322-08.2025.8.04.9242,1,20854.36,11629.91,11393.91
3501633-25.2025.8.06.3590,1,5325.29,10201.49,10202.31
5105359-95.2025.8.12.2394,1,24251.11,11522.31,11557.07
7124904-73.2025.8.16.6669,0,0.00,176.27,185.31
6298448-63.2025.8.17.3346,0,0.00,908.46,921.67
2171566-25.2025.8.01.2706,1,7222.71,2686.12,2662.98
2348797-72.2025.8.22.5716,0,0.00,389.83,387.51
8061082-89.2025.8.03.8935,0,0.00,880.01,877.23
4885272-12.2025.8.27.9251,1,7359.01,7289.15,7391.33
3457882-37.2025.8.14.2153,1,7166.98,12021.38,12032.24
3122903-81.2025.8.18.2706,0,0.00,164.62,155.44
6783661-51.2025.8.03.1277,0,0.00,6412.57,6432.47
1778902-59.2025.8.10.3909,0,0.00,5901.46,5916.36
6932601-73.2025.8.11.0266,0,0.00,448.43,446.30
1734141-46.2025.8.24.7573,1,12249.87,10173.32,10173.83
9288839-34.2025.8.07.2948,0,0.00,592.16,595.51
7193855-93.2025.8.02.3453,0,0.00,277.20,278.69
1018720-66.2025.8.03.0441,0,0.00,6128.06,6106.45
2283888-11.2025.8.09.3218,1,8127.39,9362.52,9357.60
5338187-14.2025.8.07.5701,0,0.00,1120.06,1200.39
6926127-35.2025.8.05.2214,0,0.00,458.23,445.93
2198416-22.2025.8.09.8933,0,0.00,1035.06,1030.67
4302985-36.2025.8.24.4713,0,0.00,161.75,162.70
4027328-98.2025.8.10.4606,0,0.00,261.43,262.81
2674488-38.2025.8.04.2677,1,7810.87,8454.81,8460.08
3359607-67.2025.8.21.8235,1,14842.67,9975.36,9966.51
9422475-35.2025.8.20.8151,1,7759.58,10749.17,10761.54
7754045-23.2025.8.17.9069,0,0.00,2128.46,2138.98
5255102-02.2025.8.10.1127,0,0.00,146.15,144.21
1444645-68.2025.8.08.3070,1,7905.30,1064.01,1074.56
1741077-16.2025.8.17.6138,0,0.00,124.70,124.41
6089598-96.2025.8.04.8899,1,17054.64,13245.44,13263.43
1739707-66.2025.8.08.9011,1,6478.40,4421.75,4402.04
2829768-01.2025.8.19.5390,0,0.00,308.35,324.90
7653954-79.2025.8.17.2803,0,0.00,1457.67,1455.71
3834420-35.2025.8.19.2494,0,0.00,518.77,514.83
9694863-89.2025.8.15.5630,0,0.00,212.04,213.23
5120262-22.2025.8.20.4697,0,0.00,209.44,208.71
3175927-59.2025.8.25.1769,0,0.00,93.60,93.23
7959310-71.2025.8.14.4036,0,0.00,128.32,129.01
2928828-25.2025.8.24.1374,0,0.00,749.73,746.11
6978864-33.2025.8.13.1041,0,0.00,141.35,139.44
3561972-60.2025.8.20.5539,1,15505.06,13209.65,13219.66
5737300-01.2025.8.07.9925,0,0.00,13312.65,13330.00
1231769-81.2025.8.22.5946,0,0.00,472.56,507.58
1350769-33.2025.8.15.1221,0,0.00,256.65,255.38
5248815-50.2025.8.26.0489,0,0.00,404.00,406.07
2576471-58.2025.8.05.6900,1,13543.53,3380.61,3394.61
3968762-29.2025.8.11.0765,0,0.00,475.40,477.84
7233052-52.2025.8.20.3683,0,0.00,1536.25,1575.06
5710294-70.2025.8.10.3264,0,0.00,80.78,81.22
2693290-60.2025.8.16.0169,0,0.00,1696.94,1704.99
8730476-11.2025.8.27.9825,1,6780.75,12030.44,12021.90
7588358-18.2025.8.04.8903,0,0.00,1301.64,1308.34
2355540-13.2025.8.17.0597,0,0.00,9479.06,9513.66
3112828-57.2025.8.08.7570,0,0.00,3360.31,3371.60
4184633-23.2025.8.07.0732,0,0.00,3070.33,3076.71
4101776-23.2025.8.25.8954,1,8422.88,14159.35,14158.42
1263027-76.2025.8.05.2125,1,12559.88,849.37,851.58
3055085-83.2025.8.02.5517,0,0.00,1643.86,1661.21
1574215-20.2025.8.18.2886,0,0.00,844.89,853.51
5533904-97.2025.8.26.6276,1,10735.93,6811.99,6784.40
1605740-84.2025.8.10.3868,0,0.00,5420.38,5438.04
8875756-22.2025.8.19.6435,0,0.00,2496.39,2419.25
9888071-75.2025.8.17.5995,0,0.00,351.56,333.50
2557073-95.2025.8.25.7254,1,7873.60,4894.45,4885.49
5889580-60.2025.8.27.9310,0,0.00,3886.68,3876.70
3610323-91.2025.8.26.0229,0,0.00,470.77,452.06
2607814-68.2025.8.19.5830,0,0.00,124.04,125.43
