processo,uf,golpe,contrato,extrato,comprovante,dossie,demonstrativo,laudo,perda,p_perda_validacao
4379428-87.2025.8.27.6305,TO,1,1,1,1,0,1,1,0,0.037380
9052544-12.2025.8.18.3595,PI,1,1,1,1,1,0,1,0,0.049159
1160202-57.2025.8.07.2189,DF,0,1,1,0,1,1,1,1,0.067493
7534767-25.2025.8.14.5207,PA,0,1,1,0,1,1,1,0,0.053953
8244365-69.2025.8.22.8702,RO,1,1,1,1,0,1,1,0,0.033141
5377838-64.2025.8.22.1960,RO,1,1,1,0,1,1,1,0,0.111376
4664636-83.2025.8.24.3322,SC,1,0,0,0,1,1,1,1,0.984659
3317432-66.2025.8.02.3532,AL,0,1,1,1,0,1,1,0,0.015847
1036167-99.2025.8.18.7221,PI,0,1,0,0,1,1,1,1,0.446406
4713499-59.2025.8.01.9891,AC,1,0,0,1,0,0,1,1,0.966925
7409545-64.2025.8.09.7451,GO,1,1,1,1,1,1,1,0,0.061245
5190784-97.2025.8.05.0017,BA,0,1,1,0,0,0,1,0,0.101824
9008957-49.2025.8.10.2303,MA,0,1,1,0,0,1,1,0,0.035697
3337657-99.2025.8.01.8085,AC,0,1,1,1,1,0,1,0,0.021142
1164748-57.2025.8.09.6973,GO,1,1,0,0,0,1,1,1,0.812522
6433720-08.2025.8.13.0468,MG,0,1,0,0,1,1,1,0,0.546394
1004618-46.2025.8.24.2609,SC,1,1,1,1,0,1,1,0,0.040012
5765658-76.2025.8.02.4628,AL,0,1,0,1,1,1,1,0,0.249827
4242943-08.2025.8.02.6315,AL,1,1,0,1,0,1,1,1,0.476446
8575019-24.2025.8.10.3536,MA,1,0,0,1,1,0,1,1,0.955688
8640762-07.2025.8.10.7001,MA,1,1,1,0,1,1,1,0,0.099485
1642051-91.2025.8.22.5427,RO,1,1,1,1,1,1,1,0,0.034279
6350914-29.2025.8.18.1243,PI,0,1,1,0,1,0,1,0,0.062261
4337481-67.2025.8.04.1028,AM,1,1,1,0,1,1,1,0,0.270975
9628720-57.2025.8.05.4407,BA,1,0,1,0,1,1,1,1,0.814991
6864983-88.2025.8.01.7914,AC,1,1,1,1,1,1,1,0,0.037414
7290593-91.2025.8.15.4383,PB,0,1,1,1,1,1,1,0,0.015838
2916706-84.2025.8.13.4536,MG,1,1,1,1,1,1,1,0,0.044279
4378932-14.2025.8.21.6312,RS,0,1,1,1,1,0,1,0,0.039066
3116427-41.2025.8.15.6493,PB,1,0,1,1,1,1,0,1,0.494373
1767789-13.2025.8.16.5294,PR,0,0,1,1,1,1,1,0,0.213307
2514951-11.2025.8.16.4194,PR,1,0,0,0,1,1,0,1,0.983279
9221747-80.2025.8.05.4800,BA,1,0,1,1,1,1,0,1,0.542344
8738419-10.2025.8.11.0050,MT,1,0,1,0,1,1,1,1,0.742430
5467001-97.2025.8.05.4535,BA,0,1,1,1,0,1,1,0,0.018663
6600400-15.2025.8.24.1673,SC,1,1,1,1,1,1,1,0,0.040024
6957934-24.2025.8.04.1883,AM,1,1,1,1,0,1,1,0,0.086571
9721232-17.2025.8.26.2061,SP,0,1,1,1,1,1,1,0,0.015719
1658392-73.2025.8.06.4400,CE,1,0,0,0,0,1,0,1,0.985546
5429359-99.2025.8.15.9990,PB,0,1,1,0,1,1,1,0,0.051471
1830158-63.2025.8.06.7436,CE,1,1,1,0,1,1,1,0,0.129938
4888805-39.2025.8.06.6078,CE,1,1,1,0,0,1,0,0,0.126972
2416629-13.2025.8.22.7481,RO,0,1,0,1,1,1,1,0,0.203479
3617208-89.2025.8.24.5615,SC,0,1,1,1,1,1,1,0,0.015539
5465173-62.2025.8.04.1962,AM,1,1,1,0,1,0,1,1,0.382357
2195334-12.2025.8.19.3849,RJ,0,0,1,1,0,0,1,0,0.454752
2491617-60.2025.8.04.4954,AM,1,0,0,1,0,1,1,0,0.974537
3034155-80.2025.8.17.9947,PE,1,1,1,0,1,0,1,0,0.232036
9541320-08.2025.8.25.0772,SE,0,1,1,1,0,1,1,0,0.016255
3756959-00.2025.8.22.8800,RO,0,1,1,1,0,1,0,0,0.012904
3407007-73.2025.8.27.4003,TO,1,1,1,1,1,1,1,0,0.035185
5125388-30.2025.8.04.4802,AM,1,0,0,1,0,1,1,1,0.976757
1071988-28.2025.8.10.4869,MA,1,0,0,0,1,1,0,1,0.979781
3943642-26.2025.8.14.7097,PA,1,0,0,1,1,0,1,1,0.969110
3316828-87.2025.8.04.5252,AM,1,0,1,1,1,1,1,1,0.680706
5001851-77.2025.8.05.0092,BA,0,1,1,1,1,1,1,0,0.020782
3066971-59.2025.8.14.6843,PA,1,1,1,1,1,1,1,0,0.040171
2725863-21.2025.8.21.8039,RS,1,1,1,0,0,1,1,0,0.188242
7855743-79.2025.8.22.0178,RO,1,1,1,1,0,1,1,0,0.032051
9151035-68.2025.8.22.6973,RO,1,1,1,0,0,1,0,0,0.116229
6207314-44.2025.8.15.8205,PB,1,1,1,1,0,0,1,0,0.065622
9695003-30.2025.8.17.4000,PE,0,1,1,1,1,1,0,0,0.018397
7709072-23.2025.8.21.1626,RS,1,0,1,0,1,1,1,0,0.848203
1132224-24.2025.8.04.8647,AM,1,0,1,0,0,0,0,1,0.922973
4126847-18.2025.8.11.9758,MT,1,1,1,0,1,1,1,0,0.107668
2945066-43.2025.8.01.2052,AC,1,0,0,0,1,1,1,1,0.981381
2260050-77.2025.8.08.6911,ES,0,1,1,1,1,1,0,0,0.020981
9692800-68.2025.8.11.8981,MT,1,1,1,1,1,1,0,0,0.033180
5694415-80.2025.8.11.5254,MT,0,1,1,0,1,1,1,0,0.041734
1953090-35.2025.8.07.9022,DF,0,1,1,0,1,1,1,0,0.065167
9678122-24.2025.8.08.7373,ES,1,0,1,1,1,0,1,1,0.680825
6107837-76.2025.8.15.8712,PB,1,1,0,1,1,1,0,0,0.487424
7103613-72.2025.8.14.7270,PA,1,1,1,0,0,1,1,0,0.115447
6810366-72.2025.8.21.6022,RS,1,1,0,1,1,1,0,1,0.597008
8551553-69.2025.8.11.2880,MT,0,1,1,0,0,1,0,0,0.046556
1365943-12.2025.8.02.3358,AL,0,1,1,1,1,1,1,0,0.017177
2154527-14.2025.8.24.6581,SC,0,1,1,0,0,0,1,0,0.083918
6832328-93.2025.8.12.2275,MS,0,1,1,1,1,1,0,0,0.012741
4682646-67.2025.8.16.1196,PR,1,0,0,0,1,1,1,1,0.981631
9878548-45.2025.8.15.2286,PB,1,0,0,0,1,1,1,1,0.986269
2943656-23.2025.8.11.8748,MT,0,1,1,0,1,0,1,0,0.071680
4404420-82.2025.8.18.4981,PI,1,1,1,1,0,1,0,0,0.030901
6028943-75.2025.8.14.1091,PA,1,1,1,1,1,1,1,0,0.043664
8559222-65.2025.8.14.9635,PA,1,1,1,1,0,1,1,0,0.040360
1188768-00.2025.8.26.7298,SP,1,1,1,1,1,1,1,0,0.044406
5006133-32.2025.8.21.4921,RS,1,1,1,1,1,0,0,0,0.110735
6528657-15.2025.8.11.5661,MT,0,1,1,0,1,0,1,0,0.071365
2113440-47.2025.8.20.0133,RN,1,1,0,1,1,1,1,0,0.433420
6993647-65.2025.8.03.0482,AP,0,1,0,1,1,0,1,0,0.587322
4310482-44.2025.8.14.8080,PA,1,0,0,0,0,0,1,1,0.990969
8351690-48.2025.8.27.5137,TO,1,0,1,1,1,1,1,0,0.465607
9479205-69.2025.8.08.3845,ES,1,1,1,1,1,1,1,0,0.052471
3000656-86.2025.8.20.6265,RN,1,0,0,1,1,1,1,1,0.936786
6542450-85.2025.8.18.3638,PI,0,1,1,1,1,1,1,0,0.010951
9149773-83.2025.8.04.9862,AM,1,1,1,1,0,1,0,0,0.095874
7577959-91.2025.8.16.6387,PR,1,1,0,0,1,1,1,1,0.702749
3988343-82.2025.8.22.6232,RO,1,1,1,1,1,1,0,0,0.036868
2236097-32.2025.8.24.2768,SC,0,0,1,1,1,1,1,0,0.251509
9840752-04.2025.8.24.1287,SC,0,1,1,1,1,1,1,0,0.015111
1414512-68.2025.8.17.7385,PE,0,1,1,1,0,1,1,0,0.017276
4395451-63.2025.8.01.7486,AC,0,1,1,1,1,1,1,0,0.012594
2483936-55.2025.8.02.2108,AL,1,0,0,0,0,1,1,1,0.985218
2124970-23.2025.8.12.3756,MS,0,0,0,1,1,1,1,1,0.850401
7220045-22.2025.8.21.2131,RS,1,0,0,1,1,0,1,1,0.980774
4447431-88.2025.8.17.0827,PE,0,1,1,1,0,1,1,0,0.016838
7978624-64.2025.8.21.7206,RS,0,1,1,1,1,0,1,0,0.039066
6669881-35.2025.8.22.7063,RO,1,1,1,1,1,1,1,0,0.034079
9124076-01.2025.8.04.2683,AM,0,1,1,1,1,1,1,0,0.032875
2482176-17.2025.8.08.2021,ES,1,1,1,0,0,1,1,0,0.163270
7538477-48.2025.8.07.5362,DF,1,1,1,1,1,1,1,0,0.050851
6671803-68.2025.8.25.3190,SE,0,1,1,0,1,1,1,0,0.058568
5506424-76.2025.8.27.8880,TO,1,1,1,0,0,1,1,0,0.110260
5644091-07.2025.8.10.1211,MA,1,0,1,0,1,0,1,0,0.794489
9551756-73.2025.8.03.8934,AP,0,1,0,1,1,1,0,1,0.429705
3672620-85.2025.8.18.8833,PI,1,0,1,0,0,1,0,1,0.705124
6501074-82.2025.8.01.4124,AC,1,1,1,1,1,0,1,0,0.060799
4979196-66.2025.8.24.1263,SC,1,1,1,0,0,1,1,0,0.125556
1818653-62.2025.8.17.8561,PE,1,1,1,1,0,1,1,0,0.045605
8190650-67.2025.8.14.2138,PA,1,1,1,1,1,1,1,0,0.038112
1654013-97.2025.8.04.8668,AM,0,1,0,0,1,1,0,1,0.735835
9468353-73.2025.8.04.6122,AM,0,1,1,1,1,1,1,0,0.033895
3176669-16.2025.8.19.9291,RJ,1,1,1,0,1,1,1,1,0.185550
2106146-80.2025.8.05.3987,BA,0,1,1,1,1,0,1,0,0.031544
1914631-83.2025.8.10.1214,MA,1,1,1,1,1,1,0,0,0.029043
6505734-04.2025.8.22.0898,RO,1,1,1,1,0,1,1,1,0.034739
4987824-28.2025.8.12.9529,MS,1,0,1,1,1,0,1,0,0.554294
1337700-64.2025.8.26.1050,SP,1,1,1,0,0,0,1,0,0.199757
7020212-34.2025.8.10.1872,MA,0,0,1,0,0,1,1,0,0.447419
1325764-41.2025.8.01.1867,AC,1,0,0,0,1,0,1,1,0.990171
2471966-47.2025.8.05.2271,BA,1,0,0,1,1,0,1,1,0.975829
4358879-64.2025.8.08.7826,ES,1,1,1,0,1,0,0,0,0.266483
2829762-62.2025.8.06.6733,CE,0,1,1,1,0,1,1,0,0.014856
5045808-82.2025.8.12.9737,MS,0,1,1,1,1,1,1,0,0.012464
3789694-13.2025.8.15.6729,PB,1,1,1,1,0,1,1,0,0.038350
9084560-55.2025.8.13.1494,MG,0,1,1,1,1,1,1,0,0.017056
1739214-61.2025.8.25.6298,SE,1,1,1,0,1,1,1,0,0.135263
9492954-82.2025.8.22.4151,RO,0,1,1,1,1,1,1,0,0.012948
8975960-62.2025.8.13.7361,MG,1,1,1,1,0,0,1,0,0.071330
8724384-71.2025.8.18.1080,PI,1,1,1,0,1,1,1,0,0.100578
9307816-75.2025.8.11.0001,MT,1,1,1,1,1,1,1,0,0.033271
4649567-22.2025.8.02.4286,AL,1,0,1,0,0,1,1,1,0.793655
9409785-10.2025.8.02.0079,AL,0,1,1,0,1,1,1,0,0.056346
5690517-96.2025.8.06.4121,CE,0,1,1,0,1,1,1,0,0.049928
9562200-53.2025.8.24.8675,SC,1,1,0,0,1,1,0,1,0.762546
8278638-67.2025.8.14.6832,PA,0,1,1,1,1,1,0,0,0.016135
9147721-75.2025.8.12.3110,MS,1,1,1,1,0,1,1,0,0.031160
4294836-48.2025.8.19.6717,RJ,0,1,1,1,0,0,1,0,0.038147
1492912-22.2025.8.20.2314,RN,0,0,1,1,1,0,1,0,0.317961
9188686-73.2025.8.19.4684,RJ,1,0,0,0,0,1,0,1,0.990274
6763421-55.2025.8.26.6112,SP,0,1,1,1,1,1,1,0,0.016642
3838629-43.2025.8.14.2127,PA,1,0,1,0,1,1,0,1,0.783015
8120310-52.2025.8.16.7279,PR,1,0,0,0,1,1,0,1,0.982375
1707543-15.2025.8.01.0476,AC,1,1,1,1,1,0,1,0,0.056461
4522050-31.2025.8.09.7249,GO,1,0,1,0,1,1,1,1,0.833729
3422646-09.2025.8.13.7344,MG,0,1,1,1,1,0,1,0,0.028637
4657045-66.2025.8.27.1614,TO,1,1,1,1,0,1,1,0,0.034710
8697387-71.2025.8.19.9105,RJ,1,1,1,1,0,0,0,0,0.097675
4697385-14.2025.8.14.8471,PA,1,1,1,1,1,0,0,0,0.070647
7445676-83.2025.8.13.5734,MG,0,1,1,1,1,1,1,0,0.016345
9004567-87.2025.8.17.4684,PE,1,1,1,1,1,1,1,0,0.047220
1366137-25.2025.8.10.8394,MA,1,1,1,1,1,0,1,0,0.046438
3319519-69.2025.8.24.9245,SC,1,1,1,1,1,0,0,0,0.070571
3811520-11.2025.8.27.3921,TO,1,0,0,1,0,1,1,1,0.939387
3607840-02.2025.8.25.7125,SE,1,1,1,1,1,1,1,0,0.041360
9384984-01.2025.8.10.9298,MA,1,1,1,1,0,0,1,0,0.049048
1422980-82.2025.8.12.6616,MS,1,1,1,1,0,1,0,0,0.035779
1984531-42.2025.8.13.3366,MG,0,1,1,1,0,1,1,0,0.015929
8113638-36.2025.8.08.5428,ES,1,1,1,1,1,0,1,0,0.088031
3188599-51.2025.8.26.2727,SP,1,1,1,1,1,1,1,0,0.043453
6826454-79.2025.8.11.2037,MT,1,1,0,1,1,1,1,1,0.407841
2264907-76.2025.8.03.1677,AP,1,1,1,0,0,1,1,1,0.265616
9891771-48.2025.8.04.7843,AM,1,1,1,1,1,1,1,0,0.088166
5995372-16.2025.8.12.9495,MS,1,0,0,1,1,1,1,1,0.940551
7856489-58.2025.8.10.5043,MA,0,1,1,1,1,1,1,0,0.010598
4418311-20.2025.8.18.5533,PI,0,1,1,0,0,1,1,1,0.037407
9650295-78.2025.8.24.4301,SC,1,1,1,0,1,0,1,1,0.204230
4133155-21.2025.8.13.9869,MG,1,1,1,1,1,1,1,0,0.045040
3605350-05.2025.8.14.4896,PA,1,1,1,1,1,0,1,0,0.061999
3913330-25.2025.8.02.3394,AL,1,1,1,1,1,1,1,0,0.043954
4363333-46.2025.8.18.6471,PI,1,1,0,1,0,1,1,0,0.372197
9474548-36.2025.8.10.5454,MA,1,0,1,1,0,0,1,0,0.509400
8567617-32.2025.8.03.2392,AP,1,0,1,0,0,0,1,1,0.927322
4333785-52.2025.8.15.9738,PB,0,1,1,1,0,1,0,0,0.015655
3367926-07.2025.8.11.7775,MT,1,0,0,1,1,1,1,1,0.940477
4096300-57.2025.8.25.6947,SE,0,1,1,1,1,0,1,0,0.029000
4555246-04.2025.8.12.5914,MS,1,1,1,0,1,1,1,0,0.108527
4554311-47.2025.8.09.3097,GO,1,0,1,1,1,1,1,0,0.585473
8118111-25.2025.8.21.4100,RS,1,0,0,1,1,1,1,1,0.968384
3834494-54.2025.8.14.5884,PA,0,1,1,0,1,1,0,0,0.054799
2695662-49.2025.8.20.4019,RN,1,1,1,1,0,0,1,0,0.054114
2683862-38.2025.8.10.6374,MA,1,1,1,1,1,1,1,0,0.028409
1239724-36.2025.8.08.8933,ES,1,1,1,1,1,1,1,0,0.053629
4120213-12.2025.8.24.1138,SC,1,0,1,1,1,1,0,1,0.489537
2679129-37.2025.8.24.6626,SC,0,1,1,1,1,1,0,0,0.015883
9064618-61.2025.8.22.6208,RO,0,1,1,1,1,1,1,0,0.012948
9429013-31.2025.8.08.8737,ES,1,1,1,1,1,1,1,0,0.053629
3017224-13.2025.8.01.1554,AC,1,1,1,1,1,1,1,0,0.036760
8642955-59.2025.8.18.2775,PI,0,1,1,1,1,1,1,0,0.010908
3169077-85.2025.8.07.5123,DF,1,1,1,1,1,1,1,0,0.050851
4396761-84.2025.8.20.3161,RN,0,1,1,0,0,0,1,0,0.067253
5656989-03.2025.8.20.9803,RN,1,1,1,1,0,1,1,0,0.033078
4168459-53.2025.8.14.6929,PA,1,1,1,1,1,1,1,0,0.043664
7834054-97.2025.8.08.9760,ES,0,1,1,0,1,1,1,0,0.068388
5360256-77.2025.8.07.9983,DF,0,1,1,0,1,1,0,0,0.070206
2850297-85.2025.8.10.5188,MA,1,0,1,1,0,0,0,1,0.532649
8983927-28.2025.8.22.7891,RO,1,1,1,1,1,1,1,0,0.034279
3239459-77.2025.8.09.5383,GO,0,0,1,1,1,1,1,0,0.352581
8466820-94.2025.8.09.3156,GO,1,1,1,1,1,1,1,0,0.059869
5986545-80.2025.8.06.7462,CE,1,1,1,0,1,1,1,0,0.130043
2321619-29.2025.8.01.1492,AC,0,1,1,0,0,1,1,0,0.046901
1354099-87.2025.8.04.1036,AM,0,0,1,1,1,1,1,1,0.443507
2545536-85.2025.8.09.4077,GO,1,1,1,1,1,1,1,0,0.057553
1160170-85.2025.8.18.9900,PI,1,1,1,1,1,1,0,0,0.031450
3308467-41.2025.8.17.5945,PE,1,1,1,1,1,1,1,0,0.047009
8249061-13.2025.8.22.9384,RO,1,1,1,0,1,1,0,0,0.121146
1517558-64.2025.8.07.8311,DF,1,1,1,1,1,1,1,0,0.052859
6593502-12.2025.8.20.4510,RN,1,1,1,1,1,1,1,0,0.035459
3788838-96.2025.8.05.8217,BA,1,1,1,0,1,0,0,0,0.271785
8294025-18.2025.8.03.4132,AP,1,1,0,0,1,0,1,1,0.924068
5692657-33.2025.8.10.8260,MA,0,1,1,0,0,1,0,0,0.037686
4792625-53.2025.8.27.4268,TO,0,1,1,1,1,1,1,0,0.012865
9733358-18.2025.8.01.1430,AC,0,1,0,1,1,1,1,0,0.215014
7013914-65.2025.8.21.4289,RS,1,1,0,1,0,0,1,1,0.693167
8881225-25.2025.8.04.9702,AM,1,1,0,1,1,1,1,1,0.654861
5787439-00.2025.8.27.5036,TO,1,0,1,1,1,1,1,0,0.438969
1414137-22.2025.8.19.6524,RJ,1,1,1,0,0,1,1,0,0.189009
2080586-05.2025.8.24.0047,SC,0,0,1,0,0,0,1,1,0.666269
5712171-52.2025.8.02.2068,AL,0,1,1,0,1,1,1,0,0.056346
5477485-77.2025.8.25.9062,SE,0,1,1,1,0,1,1,0,0.015290
6554938-46.2025.8.22.6815,RO,1,1,1,0,0,1,0,0,0.108691
1229865-86.2025.8.14.8301,PA,1,1,1,0,1,1,1,0,0.132928
3697823-38.2025.8.24.9274,SC,1,1,1,0,0,0,0,0,0.202326
1764747-14.2025.8.14.2066,PA,1,1,1,1,1,1,1,0,0.040834
9745014-49.2025.8.18.8768,PI,1,1,1,1,1,1,1,0,0.029946
7727141-69.2025.8.12.1603,MS,1,1,1,1,1,1,1,0,0.035220
3851042-77.2025.8.18.1945,PI,1,0,1,1,0,1,1,0,0.400388
1459618-38.2025.8.06.2600,CE,1,1,1,1,1,1,1,0,0.041370
5579215-47.2025.8.10.1258,MA,1,0,0,0,0,0,1,1,0.986119
4713203-44.2025.8.07.4181,DF,1,1,1,1,1,1,1,0,0.052770
9100125-37.2025.8.02.7809,AL,0,1,1,1,1,1,0,0,0.017796
9350055-50.2025.8.03.3215,AP,1,1,1,1,1,1,0,0,0.114246
7702486-98.2025.8.06.4413,CE,0,0,1,0,1,1,1,1,0.550170
8072532-55.2025.8.11.4029,MT,1,1,1,0,0,1,1,1,0.113839
4980320-13.2025.8.18.4732,PI,1,0,1,0,1,1,0,1,0.712441
1285710-86.2025.8.16.1973,PR,0,1,1,0,1,0,1,0,0.071284
5395176-37.2025.8.05.1726,BA,1,0,0,0,1,1,1,1,0.987932
5391521-03.2025.8.17.1039,PE,1,0,1,1,0,1,1,1,0.512838
5592650-63.2025.8.18.1165,PI,0,1,1,0,0,0,1,0,0.061286
5964480-98.2025.8.13.3677,MG,0,1,1,0,0,1,1,0,0.054903
8346913-21.2025.8.03.6369,AP,0,1,0,1,0,1,1,0,0.417702
8849192-69.2025.8.06.7567,CE,0,1,0,1,1,1,0,0,0.239434
9437654-82.2025.8.14.6795,PA,1,0,1,1,0,0,1,1,0.571418
7104537-20.2025.8.27.4190,TO,1,0,0,0,1,1,1,1,0.982879
4465812-12.2025.8.26.2506,SP,1,0,1,1,1,1,1,1,0.495530
7422525-21.2025.8.18.9312,PI,0,1,1,1,1,1,0,0,0.011796
1470716-30.2025.8.27.4415,TO,1,1,1,1,1,1,1,0,0.035953
3094893-94.2025.8.12.5513,MS,1,1,0,1,1,0,1,1,0.530207
7479746-65.2025.8.10.8316,MA,1,1,1,1,1,1,0,0,0.030800
3351310-28.2025.8.21.0629,RS,1,1,1,0,1,1,1,0,0.193877
5548103-79.2025.8.15.0874,PB,0,1,1,0,1,1,1,0,0.050230
8871532-65.2025.8.09.5766,GO,1,1,1,1,0,1,1,0,0.058224
3446082-24.2025.8.16.3719,PR,0,1,1,1,1,0,1,0,0.021881
8135776-24.2025.8.16.1325,PR,1,0,1,0,0,1,0,1,0.743134
3097558-95.2025.8.19.8459,RJ,1,1,1,1,0,1,1,0,0.055262
4536245-57.2025.8.03.9997,AP,1,1,1,1,0,1,1,0,0.091272
8811997-92.2025.8.13.3817,MG,1,0,1,0,1,1,1,1,0.790290
1981556-54.2025.8.24.6227,SC,0,0,0,1,0,1,1,1,0.865177
3184974-18.2025.8.10.5989,MA,1,1,1,1,1,1,1,0,0.029568
6717074-15.2025.8.27.2931,TO,0,1,1,1,0,1,0,0,0.012626
4030360-40.2025.8.13.3292,MG,1,1,1,0,1,0,1,0,0.225245
5055947-21.2025.8.17.7496,PE,1,1,1,1,1,1,1,0,0.047220
7920729-74.2025.8.13.2772,MG,0,1,1,1,1,0,1,0,0.028131
7837060-38.2025.8.24.9359,SC,1,1,0,0,1,0,1,0,0.842609
4781837-93.2025.8.18.1902,PI,1,1,0,0,1,1,1,1,0.677785
7874225-49.2025.8.09.8903,GO,0,1,1,0,1,1,1,0,0.076412
8789119-87.2025.8.18.8711,PI,1,1,0,1,1,1,1,1,0.378051
2183028-16.2025.8.06.2704,CE,1,1,0,0,1,1,1,0,0.761255
1631114-63.2025.8.14.4485,PA,1,1,1,0,1,1,1,0,0.136444
4614500-63.2025.8.17.0332,PE,1,0,0,1,1,0,1,1,0.972157
6265460-69.2025.8.13.4331,MG,1,1,1,0,1,1,1,1,0.143709
5819013-29.2025.8.20.2843,RN,0,1,0,1,0,1,0,0,0.226134
